Planet Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Discovery Year,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Star Age (Gyr)
Kepler-1047 b,0.30404021390291647,-0.6791378258028552,0.20265124926142847,-0.6764684443209646,0.23239334852952098,-0.6094421429111778,-0.7040921467532458,-0.8889398245510469,1.3092903556334226,0.47275637402955595,0.404225406705806,0.423587439204601,0.38021430300439235,0.26422805457794646,1.7454673594629566,0.7750244097710226,-0.9266131537154909,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.47641433048598175,1.016241588594877,-0.3783893074108607,0.29202220116035216,-0.030184704499034664,0.35113074269743094,0.0,0.0,0.7964467432248646,-0.5867063783755049,0.0,-0.207267575809148,-0.44785478549339136,0.0,-0.583039386342936
Kepler-388 b,-0.8487747629171597,-0.6791378258028552,0.8191583153542586,-1.4469201363837618,0.8027716789249189,0.2191540440899079,1.6807871977340456,-1.0652656968586485,-1.0172678427600874,-0.9401356176235375,-1.0811578537594815,-0.439319393765411,-1.1427074529202559,2.508751436438934,-0.15513757249600738,0.0998846627913237,-0.7115080073315073,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.38906813787537936,0.660753840513754,-0.5094007111765804,0.29651438506263694,-1.33618253546434,1.1554830106090375,0.0,0.0,0.08413755641113352,-0.3177684935943011,0.0,0.9341836687742284,-1.5982433869790404,0.0,1.064496528502004
Kepler-1149 b,-0.8279289695767835,-0.6791378258028552,-1.336869451892517,-1.0379716202609197,0.8486865681906947,1.0236018320107898,-0.7040921467532483,-1.0476698694867235,-0.27421501797765446,0.2892140491543695,0.532166759864871,0.165462457559082,0.16893483903959958,0.06896351083565644,-0.038075406914948845,1.160304618953231,-1.1422798435217705,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6119908725380987,0.689889110595579,-0.44626825184787655,0.07143405556688752,-0.030184704499034664,0.35113074269743094,0.0,0.0,1.0258286610919645,-0.6933025787365837,0.0,0.4336178522590297,-0.35990042178429466,0.0,-0.34342055807292005
Kepler-1163 b,-0.7520172512466639,-0.6791378258028552,0.040317318249098,-1.2972036599443397,0.9710662286062491,1.1066192982004925,-0.7040921467532406,-1.2260196484940018,0.20644020338761454,0.8944462659422363,1.3877101003687562,0.396362917984931,0.6727714706718778,-0.45353993235106826,-0.038075406914948845,0.2228642645020789,-0.5256678272411984,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5142211621615301,0.9697424588369129,-0.38421812540779804,0.2434078166533559,-0.664744154795425,1.0229374448351263,0.0,0.0,1.2265620453944217,-0.9417536961820041,0.0,-1.4499827322465937,0.9425352735425625,0.0,-1.0790907720310254
Kepler-818 b,-0.6228224415801442,-0.6791378258028552,0.9472339782442224,0.3951260757216792,-1.1021403778423193,0.21480103025224612,1.6515726201597192,0.6872672074791965,0.17432525036200347,0.041158928541387675,0.22547280303766978,-0.124004965729559,-0.02894993526411383,0.06896351083565644,-0.6018109664477258,0.897883502392531,-0.9998949006456622,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6647166981975386,0.39966237039901664,-0.5315786939789581,-0.07591415525802524,1.291129435643613,-0.9035282103945992,0.0,0.0,0.7964467432248646,-0.46314315681526147,0.0,1.2643343787396766,-0.45656427635664404,0.0,-0.01513251982035021
GJ 504 b,1.9528440463690102,-0.6791378258028552,-0.43642428791640553,1.376158275211741,0.2995596711776894,-2.1714658273749134,-0.7040921467480397,1.5073504926679244,0.01790647676824133,0.8944462659422363,1.2539712438494954,0.332,0.5643619765006402,-2.150752575869255,1.674203182888111,-1.403108137258894,1.7856564406298374,-0.8232751891533349,2.155323140518369,3.05297493781877,-0.2721781592978959,0.0,-0.7946332049418053,-0.5980709579173891,1.5944973271367016,2.8040719783301857,0.024980337526646447,-0.005467759905994833,0.0,0.0,-0.7442257641382861,0.3362619620322545,0.0,-1.6603142977126408,2.0027236475008503,0.0,-1.0790907720310254
2MASS J01225093-2439505 b,1.9528440463690102,-0.6791378258028552,-0.43642428791640553,1.2503843659714178,2.5897198295814,-2.1743209620192276,-0.7040921467514784,1.8413529233848693,0.01790647676824133,-1.7228058630182626,-1.8720691137688914,-1.72,-2.2546115305285563,-2.17933649627716,-0.038075406914948845,-1.3211920429949444,1.5988952860885726,-0.8232751891533349,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,-1.6947917040687461,-1.235845031963579,0.91046850316479,-2.3180079647792518,0.024980337526646447,-0.005467759905994833,0.0,0.0,-1.330071965940103,1.455686681924144,0.0,-2.03354718288782,2.065217840948489,0.0,1.730629815603409
Kepler-378 c,-0.16112468385588935,-0.6791378258028552,0.2640672340265366,-1.4867066568630833,0.6959792026786339,-0.87426658733375,0.1720017947352276,-1.1618988936315597,-0.08536942413576025,-0.46762466081579995,-0.9274786969005071,-0.655386115818104,-0.8154857502698069,-0.2703565051843113,0.6936898132549336,-0.7844395386855798,0.5830124683020884,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6314005482083767,0.7605686496550274,-0.4199462096312122,0.07578068398949364,-1.9145377711299172,1.909803868361117,0.0,0.0,-0.4885696299729136,0.3362619620322545,0.0,0.5324209939854861,0.29865807369823155,0.0,0.5862357587613111
Kepler-480 b,-0.7882740260319889,-0.6791378258028552,0.13854182628976325,-0.35324974738632325,-0.2564621519912483,1.2466015145817435,-0.7040921467532458,-0.7937946122202546,0.5927173083021058,0.9837939854981147,1.4276427807502459,0.477792300057236,0.6613577387650111,-0.7483660485116075,0.5191050869394142,0.8110074143134774,-0.9488085051487523,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6189860526301989,0.953694689390525,-0.36745790496340536,0.14329286912614478,0.1267221961418447,0.016168432823700892,0.0,0.0,0.7964467432248646,-0.6933025787365837,0.0,-1.3281520479945979,1.1452788602285529,0.0,-1.1721248232985004
Kepler-152 b,-0.4072328227067877,-0.6791378258028552,0.31153727175460855,-0.34899048375486474,-0.2626484056591925,-0.4800303919590667,0.8299295037357948,0.0507757940411511,0.3727225283858594,-0.3070081034879865,-0.4831263084763239,-0.464882419188703,-0.6296992703661612,-0.9455591674219846,-1.0226602238935671,0.13821761306548347,-0.4537000566020364,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.43506982617275,0.5256847893530168,-0.5474620517415195,0.20334877147575942,-0.664744154795425,0.35113074269743094,0.0,0.0,-0.4885696299729136,0.3362619620322545,0.0,-0.6101245186278124,1.2822341567078712,0.0,0.40747631200225165
Kepler-141 c,-0.7385397773770631,-0.6791378258028552,-0.39894296346881264,-1.0560924957909756,0.8806504244861488,0.07428651708580791,1.5656513327145085,-0.9150478013725976,-0.12916519137698687,0.23067234357388178,-0.6766874736991809,-0.446248737422844,-0.3936386309744377,2.236287333576576,1.5629914468792947,-0.24387956365162408,-0.09182196371004259,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.710599963522735,0.8338156731279549,-0.3807360865060352,0.03131755236223433,-1.4451908586801858,1.2940631597925096,0.0,0.0,-0.4885696299729136,0.3362619620322545,0.0,-1.0026194777577562,0.8886824278611455,0.0,-0.2655176039707096
Kepler-246 c,-0.5601272353502454,-0.6791378258028552,0.4958984593996355,-1.002121734232311,0.7843674152799249,-0.09285954702611966,1.2961094180473958,-0.9060768981859492,0.0015565922453517466,-0.42573804983995284,-0.3468914365496538,-0.413381193244127,-0.27126620379974176,2.2752796827940927,0.8466771095835263,0.5019400874800317,-0.7426914567294056,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6712154203319992,0.5595890056274122,-0.4735448604264854,-0.024692932151750748,1.2526822917574023,-1.4614288885393096,0.0,0.0,1.6138213771693408,-1.7566486425234658,0.0,0.9341836687742284,-1.5982433869790404,0.0,0.5404945024607075
Kepler-401 d,1.1190126881118951,-0.6791378258028552,0.525242115886632,-0.5864108294753952,0.0904755833742743,-0.9677597457682463,-0.7040921467532458,-0.9250107631583514,2.4663529043502304,0.7447855842749649,1.1576619100049512,0.566110558151857,0.6019825846361794,-0.19738663588648217,-0.038075406914948845,0.9399072048629673,-1.024888915739581,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5105422512190854,1.0208482621830124,-0.3705902311256989,0.2598674022768219,0.5464870587654789,-0.29225727863341355,0.0,0.0,1.1919701961696025,-0.9417536961820041,0.0,-1.147681065967063,0.6790809757098899,0.0,-0.9134877202097843
Kepler-1231 b,-0.6195058684263222,-0.6791378258028552,0.8390269500483508,-1.0500376309287691,0.8684711605961369,0.31215968816057554,-0.7040921467532483,-1.0496070542173592,0.5924326409710323,0.2584294561384293,0.44257143050386977,0.0230194012088864,0.14891479017713727,0.1472775879052464,0.20381658938214833,0.9615216817459735,-1.037051810133994,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.47505178919309327,0.5566641033829104,-0.5255641380753986,0.16776026803324467,0.17378577422147706,0.8963702965469269,0.0,0.0,1.1150662251687362,-0.46314315681526147,0.0,0.5267127497134809,-0.5599264308455663,0.0,-0.3024932904860542
Kepler-320 b,-0.6887495429076296,-0.6791378258028552,-2.18436145462897,-1.2251672850901005,1.039755053925978,0.7065243035274088,-0.7040921467532458,-1.1664728419116734,0.521041669430554,1.2205578821160947,1.658280929886475,0.374194404855751,0.3482290784704188,-0.8633185084874608,-0.8294519188842244,0.7859868140017179,-0.9333944018382696,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5873607857034245,0.745906363918157,-0.4346356120623174,0.11147964983148599,0.894478316311138,-1.140686553385155,0.0,0.0,1.716405763928549,-1.8590139160211239,0.0,-1.3301789358364966,1.3773830047122997,0.0,-1.3978139682670292
Kepler-977 b,-0.21387801736847484,-0.6791378258028552,1.0734733652175519,-0.42300005373522703,-0.15458651733241147,-0.5101018194341117,0.5328141446105554,-0.28331388746629477,0.7369913425662941,-0.1795156587554648,-0.21448449373485265,-0.47626796656824,-0.27126620379974176,0.3016149432543079,-0.21275008741284018,0.4022504021345347,-0.6687454726242519,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5452970506936279,0.5386401831166141,-0.5137558106291229,0.08768830070401282,-0.664744154795425,0.35113074269743094,0.0,0.0,-0.07870054368408565,0.3362619620322545,0.0,1.8687383046891548,-0.8747207191838482,0.0,0.2587178211852606
Kepler-1237 b,0.6342388542748703,-0.6791378258028552,1.0734733652175519,-0.319499609218406,-0.30022043236206786,-1.005944297951323,-0.1956914555917144,-0.2731536880382001,1.1904637650900627,0.041158928541387675,-0.01066639977808945,-0.257980994265107,-0.07886572683534829,0.3016149432543079,0.5836955425731353,1.0339165635994623,-1.0761511890046223,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6489509087218375,0.6651258164649901,-0.4450671401260238,0.030160158969847587,0.5153961994303292,0.016168432823700892,0.0,0.0,0.6457760284430024,-0.14359234495790565,0.0,1.7533106851669766,-0.8908172975752225,0.0,-0.01513251982035021
Kepler-1242 b,-0.5042956449209133,-0.6791378258028552,-0.6513680386379037,-0.5913046499664255,0.10014922408424327,-0.37662870221191674,1.0508527046835157,-0.33274821520610737,-0.08226429433829906,-0.4999030606015698,-0.6924127861301417,-0.51639045403151,-0.5593984605456624,0.6573238625793485,-0.43785846683671487,0.5987127674281368,-0.8108460613664871,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.3841416276078821,0.4866012078250786,-0.5761117685412922,0.25247865412954185,-1.0289142170728216,0.7757238552220708,0.0,0.0,-0.7442257641382861,0.3362619620322545,0.0,1.570444095261753,-1.1659040929650466,0.0,0.6210802581439017
Kepler-957 b,-0.7711101847999488,-0.6791378258028552,0.9266578051017147,0.4848496692649227,-1.1798957815361586,0.215971691422698,1.7069054456735886,1.1252568543705515,-2.208198312367306,-0.37109526905301815,-0.6204266866832465,-0.468360806779018,-0.5251057715886279,-0.5223775341114011,-0.21275008741284018,0.7836448301770492,-0.9316906811834249,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5123100014824175,0.8972062293503544,-0.40558517255974313,0.22635198312546725,0.1267221961418447,-0.5614412080470199,0.0,0.0,-0.7442257641382861,0.3362619620322545,0.0,1.962676158194074,0.5604363424317028,0.0,0.47990681786493944
