,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU)
752,K2-270 c,c,K2-270,4.400028,,,2.95,1.93,848.0,,0.1682,1.56,0.85,4877.0,-0.518187017497296,0.77,,0.26,280.518,3.53616,25.669643,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,Transit,2018,2018-12,0,0,0,0,131.2665588,13.5497322,213.091,31.22796,0.16,-0.16,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,,,,2.385,-2.346,0.0298341,-0.0298341,0.0497
753,Ross 128 b,b,Ross 128,9.8658,0.116,,1.11,5.63,301.0,1.38,,,0.17,3192.0,-2.441,0.2,5.0,-0.02,3.37454,296.307,1365.9371779,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,Radial Velocity,2017,2018-05,1,0,3,0,176.9376036,0.7992898,270.15662,59.55577,,,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,,,-1.0,0.000805,-0.000805,0.069922,-0.069922,0.0496
754,K2-34 b,b,K2-34,2.9956348,0.0,82.23,13.75,0.94,1687.0,963.566,0.7493,2.4768,1.16,6168.0,0.399703307866217,1.42,2.88,0.01,348.646,2.84026,14.2341494,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,Transit,2016,2016-07,0,0,0,0,127.5787231,22.2359194,202.13873,31.13427,0.58,-0.59,0.0,0.04,-0.04,0.0,0.06,-0.05,0.0,0.26,-0.24,0.0,6.323,-6.106,0.050725,-0.050725,0.0442
755,EPIC 201615463 c,c,K2-166,3.80464,,,1.22,5.99,,,,,1.07,5942.5,0.458479026819939,1.5993878,,-0.0512912,476.882,2.06877,49.6479619,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,Transit,2019,2019-07,0,0,0,0,185.1880932,2.2823788,285.15815,64.0901,0.21,-0.17,0.0,0.03,-0.03,0.0,0.0141787,-0.0211841,0.0,,,,9.692,-9.321,0.0414771,-0.0414771,
756,K2-132 b,b,K2-132,9.1751,0.29,77.46,14.572,0.277,1586.0,293.374,0.058,7.169,1.08,4840.0,0.943494515906102,3.85,8.5,-0.01,609.818,1.61184,29.6333376,<a refstr=GRUNBLATT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..254G/abstract target=ref>Grunblatt et al. 2017</a>,Transit,2017,2017-12,0,0,0,0,182.1662666,-8.7472172,285.33405,52.65691,0.785,-0.785,0.0,0.08,-0.08,0.0,0.13,-0.13,0.0,4.5,-2.8,0.0,17.942,-16.962,0.0465515,-0.0465515,0.0916
757,K2-287 b,b,K2-287,14.893291,0.478,88.13,9.494,0.643,804.0,,,,1.06,5695.0,-0.108291088393221,1.07,4.5,0.2,158.335,6.2875,18.4786025,<a refstr=JORD_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..100J/abstract target=ref>Jord&aacute;n et al. 2019</a>,Transit,2018,2019-03,0,0,0,0,233.0743401,-22.3583447,345.04347,27.06963,0.146,-0.146,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,1.0,-1.0,0.0,1.297,-1.277,0.0509509,-0.0509509,0.1206
758,K2-14 b,b,K2-14,8.36802,0.14,88.19,4.81,1.02,488.0,8.0,0.943,2.3304,0.47,3789.0,-0.968473884140963,0.45,,-0.37,364.048,2.71943,46.8749859,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,Transit,2015,2015-08,0,0,0,0,178.0568745,2.5941222,270.39884,61.66737,0.42,-0.42,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,,,,8.099,-8.099,0.0606212,-0.0606212,0.0627
759,K2-38 c,c,K2-38,10.56103,0.086,87.68,2.49,2.63,949.0,135.3,0.0484,2.38,1.05,5705.0,0.0374264979406237,1.14,6.1,0.235,192.69,5.16248,68.2729691,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Transit,2016,2016-08,0,0,0,0,240.0333095,-23.1894196,349.62852,22.1208,0.22,-0.22,0.0,0.07,-0.06,0.0,0.01,-0.01,0.0,3.4,-3.1,0.0,2.669,-2.597,0.0703693,-0.0703693,0.0959
760,K2-271 b,b,K2-271,8.562421,,,7.28,0.595,893.0,83.4514,0.5513,3.24,0.83,5644.0,-0.0498224389835651,0.99,,-0.3,564.454,1.74335,35.900347,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,Transit,2018,2018-12,0,0,0,0,125.2239144,16.0907958,207.78938,26.8561,0.23,-0.23,0.0,0.03,-0.03,0.0,0.03,-0.03,0.0,,,,13.7,-13.7,0.0426635,-0.0426635,0.077
761,K2-81 b,b,K2-81,6.102325,0.06,89.29,1.97,3.26,,62.9,0.1076,2.15,0.75,4674.13,-0.568898500201186,0.63,,,252.318,3.93486,36.8620026,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,Transit,2016,2016-09,0,0,0,0,57.4854562,14.5020556,174.63465,-29.93683,0.13,-0.11,0.0,0.07,-0.07,0.0,0.04,-0.03,0.0,,,,2.731,-2.673,0.0421198,-0.0421198,0.059
