Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
TOI-1266 c,1.5743427464787318,-0.4634911284070809,-0.2721781592978959,-0.8049903803029985,2.1115572533810054,0.1878897310997652,0.0,0
HD 6860 b,1.3084180184564898,-0.4634911284070809,-0.2721781592978959,-1.704473947100674,0.23396202730439,0.2790623505042031,0.0,1
TOI-1420 b,0.3068978288048564,-0.4634911284070809,-0.2721781592978959,1.4941294387085695,2.155147483928159,-0.0105047087112239,0.0,0
Kepler-444 f,1.5695546896948915,2.155323140518369,-0.2721781592978959,0.5026423023585966,0.507975960302505,-0.5362116959073736,0.0,2
Kepler-62 c,-0.0908160657830669,-0.4634911284070809,-0.2721781592978959,0.3535535935304739,0.7006234745564246,-0.5034782208433795,0.0,0
Kepler-50 b,0.0930452343559267,-0.4634911284070809,-0.2721781592978959,0.4636410858010818,0.9699622826261278,-0.3941057348031981,0.0,0
Kepler-65 c,-0.1000180396993477,-0.4634911284070809,-0.2721781592978959,0.4774132150623927,0.484395343712874,-0.5518651309224638,0.0,0
Kepler-65 d,-0.1000180396993477,-0.4634911284070809,-0.2721781592978959,0.4774132150623927,0.484395343712874,-0.5518651309224638,0.0,0
Kepler-11 c,-0.7664598009739026,-0.4634911284070809,-0.2721781592978959,0.6878471262911211,0.5217102838722972,-0.4818621238332896,0.0,0
Kepler-11 f,-0.7664598009739026,-0.4634911284070809,-0.2721781592978959,0.6878471262911211,0.5217102838722972,-0.4818621238332896,0.0,0
Kepler-11 g,-0.7664598009739026,-0.4634911284070809,-0.2721781592978959,0.6878471262911211,0.5217102838722972,-0.4818621238332896,0.0,0
Kepler-56 b,-0.9927340565046676,-0.4634911284070809,-0.2721781592978959,0.6010727912857202,0.5198563950248671,-0.5056454534368454,0.0,0
KOI-351 h,-0.9493789789308756,-0.4634911284070809,-0.2721781592978959,0.3803162663679049,0.9260777431228764,-0.4234281814950523,0.0,0
KOI-351 g,-0.9493789789308756,-0.4634911284070809,-0.2721781592978959,0.3803162663679049,0.9260777431228764,-0.4234281814950523,0.0,0
KOI-351 f,-0.9493789789308756,-0.4634911284070809,-0.2721781592978959,0.3803162663679049,0.9260777431228764,-0.4234281814950523,0.0,0
Kepler-92 c,-0.5244337622982979,-0.4634911284070809,-0.2721781592978959,0.486788957074398,0.5045799981584035,-0.5417138503460575,0.0,0
Kepler-314 c,0.0207449236377021,-0.4634911284070809,-0.2721781592978959,0.6243567246214597,0.5300071662579718,-0.4959106921031772,0.0,0
Kepler-334 c,-0.4234604612927666,-0.4634911284070809,-0.2721781592978959,0.441390240804396,0.7985997447763591,-0.4509924517552544,0.0,0
Kepler-104 c,-0.3661399289217709,-0.4634911284070809,-0.2721781592978959,0.4521037506960591,0.5345526507555899,-0.5396725501579401,0.0,0
Kepler-104 d,-0.3661399289217709,-0.4634911284070809,-0.2721781592978959,0.4521037506960591,0.5345526507555899,-0.5396725501579401,0.0,0
Kepler-126 d,0.1452345878727586,-0.4634911284070809,-0.2721781592978959,0.4929838248496023,0.6395291648635512,-0.4917785914561812,0.0,0
Kepler-134 b,-0.1952533963269157,-0.4634911284070809,-0.2721781592978959,0.3870910390156695,0.9436566213146252,-0.4167286242133132,0.0,0
Kepler-139 c,-0.3432178714502572,-0.4634911284070809,-0.2721781592978959,0.33582899321212,0.6227629027237459,-0.5358817777168479,0.0,0
Kepler-220 c,0.4698548276021425,-0.4634911284070809,-0.2721781592978959,0.5450484224763295,0.7861875539344774,-0.4319117055847228,0.0,0
